2750	2271	1
2271	1222	2
2271	1144	2
1144	540	3
2271	1500	2
1500	1031	3
2271	349	2
349	913	3
2271	548	2
2271	1604	2
2271	850	2
2271	715	2
2271	1654	2
2271	6	2
2271	174	2
174	656	3
2271	1142	2
1142	188	3
2271	2849	1
2271	1038	2
2271	1724	2
1724	1718	3
2271	1300	2
1300	669	3
2271	2797	1
2271	1874	2
1874	1535	3
2271	337	2
337	2128	3
2271	398	2
2271	516	2
2271	958	2
2271	886	2
2271	2037	2
2037	582	3
2271	1622	2
2271	1449	2
2271	1086	2
1086	1711	3
2271	2308	1
2271	3075	1
2271	2053	2
2271	1118	2
2271	1217	2
2271	1158	2
2271	2301	1
2271	1780	2
1780	820	3
2271	427	2
2271	2644	1
2271	2250	1
2271	1438	2
2271	3074	1
2271	848	2
848	1537	3
2271	653	2
2271	1494	2
2271	2115	2
2271	2792	1
2271	281	2
281	1623	3
2271	1670	2
2271	2133	2
2271	2277	1
2271	1891	2
2271	2010	2
2271	1470	2
1376	680	3
400	360	3
638	479	3
2271	2327	1
2327	2279	1
2279	227	2
227	567	3
2279	2424	1
2279	1475	2
1475	1958	3
2279	893	2
2279	2047	2
2279	2728	1
2279	2087	2
2279	2282	1
2279	2828	1
2279	202	2
2279	2508	1
2279	3156	1
2279	1132	2
1132	1102	3
2279	1081	2
2279	1735	2
2279	1281	2
2327	2547	1
2547	3046	1
2547	967	2
967	294	3
2547	2564	1
2547	2642	1
2547	3060	1
2547	2124	2
2547	1186	2
2547	1923	2
2547	209	2
2327	2658	1
2658	925	2
925	1301	3
2658	3078	1
2658	1667	2
2658	402	2
402	1457	3
2271	2163	1
2163	2865	1
2865	1894	2
285	1621	3
1761	1772	3
1453	1806	3
1229	1881	3
934	1988	3
1706	1015	3
2271	2745	1
2745	2755	1
2745	1277	2
2745	1501	2
2745	863	2
2745	678	2
2745	2358	1
2745	411	2
2745	838	2
2745	3130	1
2745	1819	2
2745	1451	2
1451	1700	3
2745	1808	2
1808	1410	3
2745	1577	2
2745	2712	1
2712	3179	1
2712	366	2
366	613	3
2712	1322	2
2712	2057	2
2712	2419	1
2712	1583	2
2750	2537	1
2537	1831	2
2537	487	2
2537	206	2
2537	2852	1
2537	1893	2
2537	2318	1
2537	1256	2
2537	2481	1
2537	2349	1
2349	2915	1
2349	2040	2
2349	1556	2
2750	2203	1
2203	2652	1
2203	7	2
2203	748	2
2203	2091	2
2203	2024	2
2203	3064	1
2203	1527	2
2203	2378	1
2203	3039	1
2203	182	2
2203	1657	2
2203	907	2
2203	1335	2
2203	2974	1
2203	1871	2
2203	2002	2
2203	1532	2
2203	1680	2
2203	1266	2
2203	1635	2
2203	450	2
2203	2093	2
2203	250	2
2203	2470	1
2470	2383	1
2470	1130	2
2470	273	2
2470	44	2
2470	3065	1
2203	3061	1
3061	2488	1
3061	104	2
3061	1937	2
3061	1655	2
3061	2173	1
3061	737	2
3061	909	2
3061	2634	1
3061	1465	2
2203	2592	1
2592	3149	1
3149	2737	1
3149	588	2
3149	1078	2
3149	2494	1
3149	38	2
3149	2343	1
3149	2478	1
3149	864	2
3149	2289	1
3149	874	2
3149	1644	2
3149	47	2
2203	2672	1
2672	2950	1
2950	2559	1
2950	2236	1
2950	1435	2
2950	842	2
2950	2338	1
2950	1293	2
2950	2725	1
2950	1896	2
2950	1557	2
2203	2490	1
2490	3212	1
3212	1628	2
3212	1016	2
3212	2535	1
3212	2027	2
3212	1698	2
3212	2330	1
3212	49	2
3212	524	2
2490	2824	1
2824	459	2
2824	2548	1
2824	1025	2
2824	2199	1
2824	568	2
2490	2665	1
2665	896	2
2665	1804	2
2665	1897	2
2656	3132	1
3132	2167	1
3132	18	2
3132	2842	1
3132	1910	2
3132	2784	1
3132	3126	1
3132	1892	2
3132	1235	2
3132	671	2
3132	1759	2
3132	1599	2
3132	2357	1
3132	1275	2
3132	1571	2
3132	1263	2
3132	825	2
3132	3107	1
3132	2294	1
3132	2489	1
3132	2265	1
3132	3124	1
3132	1364	2
3132	2890	1
3132	2309	1
3132	1321	2
3132	2895	1
2871	3135	1
3135	876	2
3135	1793	2
3135	1745	2
3135	990	2
3135	2641	1
3135	927	2
3135	839	2
3135	2582	1
3135	1918	2
3135	2302	1
3135	2444	1
3135	1984	2
3135	2972	1
3135	1830	2
3135	2262	1
3135	1864	2
3135	3091	1
3135	1433	2
3135	2319	1
3135	340	2
3135	3080	1
3135	2200	1
3135	789	2
3135	3097	1
3135	1567	2
3135	2553	1
3135	997	2
3135	2249	1
3135	2847	1
3135	251	2
3135	2938	1
3135	2903	1
3135	677	2
3135	342	2
3135	1328	2
3135	614	2
3135	2601	1
2601	3125	1
3125	2615	1
3125	2185	1
3125	1784	2
3125	2410	1
3125	1962	2
3125	2484	1
3125	1384	2
3125	298	2
3125	2033	2
3125	444	2
3125	1468	2
3125	2369	1
3125	280	2
3125	1674	2
3125	2382	1
3125	3047	1
3125	1506	2
